"","Player","Position","Injury","Game Status","Team","Week"
"1549","Jamal Adams","S","Ankle","Not Listed","New York Jets",7
"1550","Robby Anderson","WR","Hamstring","Not Listed","New York Jets",7
"1551","Kelvin Beachum","T","Foot","Not Listed","New York Jets",7
"1552","Brandon Copeland","LB","Ankle","Not Listed","New York Jets",7
"1553","Isaiah Crowell","RB","Foot","Questionable","New York Jets",7
"1554","Sam Darnold","QB","Right Elbow","Not Listed","New York Jets",7
"1555","Quincy Enunwa","WR","Ankle","Out","New York Jets",7
"1556","Trumaine Johnson","CB","Quadriceps","Doubtful","New York Jets",7
"1557","Spencer Long","C","Knee/Finger","Not Listed","New York Jets",7
"1558","Marcus Maye","S","Thumb","Out","New York Jets",7
"1559","Doug Middleton","S","Hamstring","Not Listed","New York Jets",7
"1560","Charone Peake","WR","Hamstring","Not Listed","New York Jets",7
"1561","Kevin Pierre-Louis","LB","Foot","Doubtful","New York Jets",7
"1562","Andre Roberts","WR","Foot/Ankle","Not Listed","New York Jets",7
"1563","Nathan Shepherd","DL","Shoulder","Not Listed","New York Jets",7
"1564","Buster Skrine","CB","Concussion","Out","New York Jets",7
"1565","Leonard Williams","DL","Back","Not Listed","New York Jets",7
"1566","Aaron Colvin","CB","Ankle","Out","Houston Texans",7
"1567","Keke Coutee","WR","Hamstring","Not Listed","Houston Texans",7
"1568","Will Fuller V","WR","Hip","Not Listed","Houston Texans",7
"1569","Zach Fulton","C/G","Ankle","Questionable","Houston Texans",7
"1570","Ryan Griffin","TE","Illness","Out","Houston Texans",7
"1571","Joel Heath","DE","Knee","Not Listed","Houston Texans",7
"1572","DeAndre Hopkins","WR","Foot","Not Listed","Houston Texans",7
"1573","Kareem Jackson","CB/S","Thigh","Not Listed","Houston Texans",7
"1574","Johnathan Joseph","CB","Shoulder","Not Listed","Houston Texans",7
"1575","Whitney Mercilus","OLB","Ankle","Not Listed","Houston Texans",7
"1576","Lamar Miller","RB","Chest","Not Listed","Houston Texans",7
"1577","Brian Peters","ILB","Ankle","Out","Houston Texans",7
"1578","Deshaun Watson","QB","Chest","Not Listed","Houston Texans",7
"1579","Shareece Wright","CB","Shoulder/Hand/Groin","Out","Houston Texans",7
"1580","Will Compton","LB","Hamstring","Out","Tennessee Titans",7
"1581","Bennie Logan","DT","Elbow","Not Listed","Tennessee Titans",7
"1582","Derrick Morgan","LB","Shoulder","Out","Tennessee Titans",7
"1583","Quinton Spain","G","Shoulder","Questionable","Tennessee Titans",7
"1584","Kenny Vaccaro","SS","Elbow","Questionable","Tennessee Titans",7
"1585","Wesley Woodyard","ILB","Shoulder","Not Listed","Tennessee Titans",7
"1586","Denico Autry","DT/DE","Hamstring","Out","Indianapolis Colts",7
"1587","Jack Doyle","TE","Hip","Out","Indianapolis Colts",7
"1588","Clayton Geathers","S","Concussion/Neck","Out","Indianapolis Colts",7
"1589","Ryan Grant","WR","Ankle","Out","Indianapolis Colts",7
"1590","T.Y. Hilton","WR","Chest/Hamstring","Not Listed","Indianapolis Colts",7
"1591","Margus Hunt","DT","Knee","Not Listed","Indianapolis Colts",7
"1592","Darius Leonard","LB","Ankle","Not Listed","Indianapolis Colts",7
"1593","Chris Milton","CB","Hamstring","Questionable","Indianapolis Colts",7
"1594","Erik Swoope","TE","Knee","Questionable","Indianapolis Colts",7
"1595","Al Woods","DT","Not Injury Related — Rest","Not Listed","Indianapolis Colts",7
"1596","Calais Campbell","DL","Ankle","Questionable","Jacksonville Jaguars",7
"1597","Leonard Fournette","RB","Hamstring","Out","Jacksonville Jaguars",7
"1598","D.J. Hayden","CB","Toe","Out","Jacksonville Jaguars",7
"1599","Tre Herndon","CB","Hamstring","Questionable","Jacksonville Jaguars",7
"1600","Brandon Linder","OL","Knee","Not Listed","Jacksonville Jaguars",7
"1601","Andrew Norwell","OL","Foot","Not Listed","Jacksonville Jaguars",7
"1602","James O'Shaughnessy","TE","Hip","Out","Jacksonville Jaguars",7
"1603","Jermey Parnell","OL","Knee","Not Listed","Jacksonville Jaguars",7
"1604","Will Richardson Jr.","OL","Knee","Questionable","Jacksonville Jaguars",7
"1605","T.J. Yeldon","RB","Foot/Ankle","Not Listed","Jacksonville Jaguars",7
"1606","Anthony Averett","CB","Hamstring","Questionable","Baltimore Ravens",7
"1607","John Brown","WR","NIR","Not Listed","Baltimore Ravens",7
"1608","Brandon Carr","CB","Knee","Not Listed","Baltimore Ravens",7
"1609","Marlon Humphrey","CB","Thigh","Questionable","Baltimore Ravens",7
"1610","James Hurst","G/T","Back","Questionable","Baltimore Ravens",7
"1611","Anthony Levine Sr.","DB/LB","Hamstring","Questionable","Baltimore Ravens",7
"1612","Alex Lewis","G/T","Neck","Out","Baltimore Ravens",7
"1613","Eric Weddle","S","NI","Not Listed","Baltimore Ravens",7
"1614","Giovani Bernard","HB","Knee/Toe","Out","Cincinnati Bengals",7
"1615","Andy Dalton","QB","Back","Not Listed","Cincinnati Bengals",7
"1616","Darqueze Dennard","CB","Sternoclavicular","Out","Cincinnati Bengals",7
"1617","Carlos Dunlap","DE","Buttock","Not Listed","Cincinnati Bengals",7
"1618","Jordan Evans","LB","Hamstring","Not Listed","Cincinnati Bengals",7
"1619","Clayton Fejedelem","S","Thigh","Not Listed","Cincinnati Bengals",7
"1620","Cordy Glenn","OT","Ankle","Not Listed","Cincinnati Bengals",7
"1621","A.J. Green","WR","NIR","Not Listed","Cincinnati Bengals",7
"1622","Tyler Kroft","TE","Foot","Out","Cincinnati Bengals",7
"1623","Cedric Ogbuehi","OT","Wrist","Not Listed","Cincinnati Bengals",7
"1624","Billy Price","C","Foot","Out","Cincinnati Bengals",7
"1625","Vincent Rey","LB","Hamstring","Not Listed","Cincinnati Bengals",7
"1626","John Ross","WR","Groin","Not Listed","Cincinnati Bengals",7
"1627","C.J. Uzomah","TE","Shoulder","Not Listed","Cincinnati Bengals",7
"1628","Nick Vigil","LB","Knee","Out","Cincinnati Bengals",7
"1629","Shawn Williams","S","Concussion","Not Listed","Cincinnati Bengals",7
"1630","E.J. Gaines","DB","Concussion","Out","Cleveland Browns",7
"1631","Rashard Higgins","WR","Knee","Out","Cleveland Browns",7
"1632","David Njoku","TE","Knee","Not Listed","Cleveland Browns",7
"1633","Joe Schobert","LB","Hamstring","Out","Cleveland Browns",7
"1634","JC Tretter","OL","Ankle","Questionable","Cleveland Browns",7
"1635","Tanner Vallejo","LB","Concussion","Not Listed","Cleveland Browns",7
"1636","Travis Benjamin","WR","Foot","Questionable","Los Angeles Chargers",7
"1637","Joey Bosa","DE","Foot","Out","Los Angeles Chargers",7
"1638","Jatavis Brown","OLB","Groin","Questionable","Los Angeles Chargers",7
"1639","Nick Dzubnar","ILB","Hamstring","Not Listed","Los Angeles Chargers",7
"1640","Melvin Gordon III","RB","Hamstring","Questionable","Los Angeles Chargers",7
"1641","Virgil Green","TE","Rib","Not Listed","Los Angeles Chargers",7
"1642","Corey Liuget","DT","Foot","Not Listed","Los Angeles Chargers",7
"1643","Mike Pouncey","C","Knee","Not Listed","Los Angeles Chargers",7
"1644","Damion Square","NT","Shoulder","Not Listed","Los Angeles Chargers",7
"1645","Kyzir White","LB","Knee","Out","Los Angeles Chargers",7
"1646","Eric Berry","DB","Heel","Doubtful","Kansas City Chiefs",7
"1647","Chris Conley","WR","Toe","Not Listed","Kansas City Chiefs",7
"1648","Cam Erving","OL","Quad","Not Listed","Kansas City Chiefs",7
"1649","Dee Ford","LB","Groin/Hand","Not Listed","Kansas City Chiefs",7
"1650","Anthony Hitchens","LB","Groin","Not Listed","Kansas City Chiefs",7
"1651","Justin Houston","LB","Hamstring","Doubtful","Kansas City Chiefs",7
"1652","Tanoh Kpassagnon","LB","Ankle","Questionable","Kansas City Chiefs",7
"1653","Mitch Morse","OL","Concussion","Out","Kansas City Chiefs",7
"1654","Eric Murray","DB","Ankle","Questionable","Kansas City Chiefs",7
"1655","Todd Davis","ILB","Shoulder","Not Listed","Denver Broncos",7
"1656","Case Keenum","QB","Forearm (right)","Not Listed","Denver Broncos",7
